codauto,ine.ccaa.name,cpro,ine.prov.name,cmun,name,LAU_CODE,GISCO_ID,CNTR_CODE,LAU_NAME,POP_2024,POP_DENS_2024,AREA_KM2,YEAR,no2_median,pm25_median,nombre_limpio,renta.pc,renta_log,no2_log,pm25_log
"12",Galicia,"15","Coruña, A","058",Oleiros,"15058",ES_15058,ES,Oleiros,0,0,43.54773692,2024,3.5577095936809,3.73566377105323,oleiros,30.879,3.43007634121253,1.26911696524946,1.31792551927519
"12",Galicia,"15","Coruña, A","059",Ordes,"15059",ES_15059,ES,Ordes,0,0,157.34231464,2024,2.37564549559082,3.5971168297863,ordes,17.102,2.83919541573376,0.865269188176229,1.28013264397093
"12",Galicia,"15","Coruña, A","060",Oroso,"15060",ES_15060,ES,Oroso,0,0,72.62346336,2024,2.34871673149154,3.66411305352198,oroso,18.153,2.89883583630829,0.853869107298885,1.29858630155475
"12",Galicia,"15","Coruña, A","061",Ortigueira,"15061",ES_15061,ES,Ortigueira,0,0,209.52537996,2024,1.93829217690008,2.88066090266497,ortigueira,17.729,2.87520171691624,0.661807264179461,1.05801974791333
"12",Galicia,"15","Coruña, A","062",Outes,"15062",ES_15062,ES,Outes,0,0,99.73684999,2024,1.48698259181827,3.66050078736585,outes,16.123,2.7802468239816,0.396748960495078,1.29759996520243
"12",Galicia,"15","Coruña, A","064",Paderne,"15064",ES_15064,ES,Paderne,0,0,39.960955,2024,3.02908540663999,3.46823226200184,paderne,19.011,2.94501775900949,1.1082607279632,1.24364502957128
"12",Galicia,"15","Coruña, A","065",Padrón,"15065",ES_15065,ES,Padrón,0,0,48.3942355,2024,1.98021530706828,3.78436647887569,padron,17.317,2.85168867797001,0.683205579738153,1.33087849609718
"12",Galicia,"15","Coruña, A","066","Pino, O","15066",ES_15066,ES,"Pino, O",0,0,131.86833559,2024,2.42023811111068,3.6535912968202,"pino, o",17.58,2.86676189225703,0.883865928349263,1.29571060080245
"12",Galicia,"15","Coruña, A","067","Pobra do Caramiñal, A","15067",ES_15067,ES,"Pobra do Caramiñal, A",0,0,32.50356916,2024,2.064208984375,4.1612548828125,"pobra do caraminal, a",17.304,2.85093768865076,0.724747094613337,1.42581668330683
"12",Galicia,"15","Coruña, A","068",Ponteceso,"15068",ES_15068,ES,Ponteceso,0,0,91.99730592,2024,1.71185007329691,3.39977994079784,ponteceso,17.59,2.86733055874947,0.53757469987591,1.22371070623272
"12",Galicia,"15","Coruña, A","069",Pontedeume,"15069",ES_15069,ES,Pontedeume,0,0,29.42592902,2024,3.15276947174864,3.47351864483199,pontedeume,17.914,2.885582530053,1.14828126395043,1.24516809887268
"12",Galicia,"15","Coruña, A","070","Pontes de García Rodríguez, As","15070",ES_15070,ES,"Pontes de García Rodríguez, As",0,0,250.4419577,2024,2.05769138511307,2.81516739371538,"pontes de garcia rodriguez, as",19.359,2.96315742762181,0.721584667524113,1.03502172473146
"12",Galicia,"15","Coruña, A","071",Porto do Son,"15071",ES_15071,ES,Porto do Son,0,0,94.54007686,2024,1.87936891012948,4.04767005830841,porto do son,16.243,2.78766204673726,0.630936034385324,1.39814142132838
"12",Galicia,"15","Coruña, A","072",Rianxo,"15072",ES_15072,ES,Rianxo,0,0,58.78045053,2024,1.98055857773913,3.90831289512724,rianxo,16.412,2.79801277457994,0.683378914890166,1.36310579625881
"12",Galicia,"15","Coruña, A","073",Ribeira,"15073",ES_15073,ES,Ribeira,0,0,68.63498134,2024,1.97971270793357,4.19678996570803,ribeira,16.083,2.77776281351351,0.682951737175607,1.43431993918881
"12",Galicia,"15","Coruña, A","074",Rois,"15074",ES_15074,ES,Rois,0,0,92.9817532,2024,1.91884731122522,3.76397709406808,rois,17.106,2.83942927915859,0.651724647015357,1.32547613617541
"12",Galicia,"15","Coruña, A","075",Sada,"15075",ES_15075,ES,Sada,0,0,27.50467787,2024,3.55859375,3.7022705078125,sada,19.9,2.99071973173045,1.2693654527804,1.30894628220368
"12",Galicia,"15","Coruña, A","076",San Sadurniño,"15076",ES_15076,ES,San Sadurniño,0,0,98.80031953,2024,2.90543610661501,3.24186833152869,san sadurnino,17.052,2.83626749890296,1.06658350179562,1.17614980914164
