Concello compuesto,id bruto,Concello bruto,,Concello_id,Concello,Renta disponible bruta per capita [miles de euros],2023
"27018 Fonsagrada, A ",27018,"Fonsagrada, A",,27018,"Fonsagrada, A",16.707,"16,707"
27019 Foz ,27019,Foz,,27019,Foz,19.004,"19,004"
27020 Friol ,27020,Friol,,27020,Friol,15.230,"15,230"
27021 Xermade ,27021,Xermade,,27021,Xermade,18.155,"18,155"
27022 Guitiriz ,27022,Guitiriz,,27022,Guitiriz,16.875,"16,875"
27023 Guntín ,27023,Guntín,,27023,Guntín,15.115,"15,115"
"27024 Incio, O ",27024,"Incio, O ",,27024,"Incio, O ",14.594,"14,594"
27025 Xove ,27025,Xove,,27025,Xove,16.423,"16,423"
27026 Láncara ,27026,Láncara,,27026,Láncara,14.243,"14,243"
27027 Lourenzá ,27027,Lourenzá,,27027,Lourenzá,16.502,"16,502"
27028 Lugo ,27028,Lugo,,27028,Lugo,20.985,"20,985"
27029 Meira ,27029,Meira,,27029,Meira,19.374,"19,374"
27030 Mondoñedo ,27030,Mondoñedo,,27030,Mondoñedo,17.556,"17,556"
27031 Monforte de Lemos ,27031,Monforte de Lemos ,,27031,Monforte de Lemos ,16.844,"16,844"
27032 Monterroso ,27032,Monterroso,,27032,Monterroso,17.357,"17,357"
27033 Muras ,27033,Muras,,27033,Muras,15.508,"15,508"
27034 Navia de Suarna ,27034,Navia de Suarna,,27034,Navia de Suarna,16.238,"16,238"
27035 Negueira de Muñiz ,27035,Negueira de Muñiz ,,27035,Negueira de Muñiz ,8.152,"8,152"
"27037 Nogais, As ",27037,"Nogais, As ",,27037,"Nogais, As ",13.853,"13,853"
27038 Ourol ,27038,Ourol,,27038,Ourol,12.961,"12,961"
27039 Outeiro de Rei ,27039,Outeiro de Rei ,,27039,Outeiro de Rei ,18.898,"18,898"
27040 Palas de Rei ,27040,Palas de Rei ,,27040,Palas de Rei ,16.634,"16,634"
27041 Pantón ,27041,Pantón,,27041,Pantón,14.411,"14,411"
27042 Paradela ,27042,Paradela,,27042,Paradela,14.145,"14,145"
"27043 Páramo, O ",27043,"Páramo, O ",,27043,"Páramo, O ",13.940,"13,940"
"27044 Pastoriza, A ",27044,"Pastoriza, A",,27044,"Pastoriza, A",16.715,"16,715"
27045 Pedrafita do Cebreiro ,27045,Pedrafita do Cebreiro ,,27045,Pedrafita do Cebreiro ,14.018,"14,018"
27046 Pol ,27046,Pol,,27046,Pol,18.133,"18,133"
"27047 Pobra do Brollón, A ",27047,"Pobra do Brollón, A ",,27047,"Pobra do Brollón, A ",15.553,"15,553"
"27048 Pontenova, A ",27048,"Pontenova, A ",,27048,"Pontenova, A ",16.841,"16,841"
27049 Portomarín ,27049,Portomarín,,27049,Portomarín,21.187,"21,187"
27050 Quiroga ,27050,Quiroga,,27050,Quiroga,16.318,"16,318"
27051 Ribadeo ,27051,Ribadeo,,27051,Ribadeo,19.541,"19,541"
27052 Ribas de Sil ,27052,Ribas de Sil ,,27052,Ribas de Sil ,14.200,"14,200"
27053 Ribeira de Piquín ,27053,Ribeira de Piquín ,,27053,Ribeira de Piquín ,13.576,"13,576"
27054 Riotorto ,27054,Riotorto,,27054,Riotorto,16.393,"16,393"
27055 Samos ,27055,Samos,,27055,Samos,14.012,"14,012"
27056 Rábade ,27056,Rábade,,27056,Rábade,16.621,"16,621"
27057 Sarria ,27057,Sarria,,27057,Sarria,17.829,"17,829"
"27058 Saviñao, O ",27058,"Saviñao, O ",,27058,"Saviñao, O ",15.160,"15,160"
27059 Sober ,27059,Sober,,27059,Sober,13.164,"13,164"
27060 Taboada ,27060,Taboada,,27060,Taboada,16.314,"16,314"
27061 Trabada ,27061,Trabada,,27061,Trabada,15.968,"15,968"
27062 Triacastela ,27062,Triacastela,,27062,Triacastela,15.117,"15,117"
"27063 Valadouro, O ",27064,"Valadouro, O ",,27064,"Valadouro, O ",16.101,"16,101"
"27064 Vicedo, O ",27065,"Vicedo, O ",,27065,"Vicedo, O ",16.732,"16,732"
27065 Vilalba ,27065,Vilalba,,27065,Vilalba,17.911,"17,911"
27066 Viveiro ,27066,Viveiro,,27066,Viveiro,18.273,"18,273"
27901 Baralla ,27901,Baralla,,27901,Baralla,15.028,"15,028"
27902 Burela ,27902,Burela,,27902,Burela,17.643,"17,643"
32001 Allariz ,32001,Allariz,,32001,Allariz,19.032,"19,032"
32002 Amoeiro ,32002,Amoeiro,,32002,Amoeiro,15.730,"15,730"
"32003 Arnoia, A ",32004,"Arnoia, A ",,32004,"Arnoia, A ",14.533,"14,533"
32004 Avión ,32004,Avión,,32004,Avión,12.435,"12,435"
32005 Baltar ,32005,Baltar,,32005,Baltar,12.486,"12,486"
32006 Bande ,32006,Bande,,32006,Bande,14.678,"14,678"
32007 Baños de Molgas ,32008,Baños de Molgas ,,32008,Baños de Molgas ,13.977,"13,977"
